	shannon_entropy
ERR1458739	3.793834595635188
ERR1458746	5.301629758566509
ERR1458747	4.66029446899382
ERR1458750	4.267420348877221
ERR1458752	5.773211375889526
ERR1458765	5.0765412685886435
ERR1458793	6.40315384509107
ERR1458809	6.060332311021396
ERR1458829	5.881018164678402
ERR1458831	2.4014565158976726
ERR1458855	5.357037215624369
ERR1458857	4.230267307472825
ERR1458868	5.639637050875896
ERR1458871	4.3373314720458955
ERR1458881	2.998949226994277
ERR1458883	5.711581961103778
ERR1458893	5.504280248679201
ERR1458899	6.181799439933265
ERR1458906	4.862377736436051
ERR1458915	4.005466248082741
ERR1458929	2.286460032429614
ERR1458931	4.808605466636269
ERR1458936	6.3364065768902575
ERR1458937	4.675470359345061
ERR1458942	4.8617069444398515
ERR1458980	4.314756220953731
ERR1458992	5.893705070091141
ERR1458999	5.998078011764138
ERR1459008	6.843017593794258
ERR1459017	4.428248328382199
ERR1459028	3.846183796323621
ERR1459033	5.349862165290577
ERR1459034	5.900625985335766
ERR1459037	6.223727830855829
ERR1459045	5.647315807122674
ERR1459063	5.766807987180113
ERR1459072	5.556206003202704
ERR1459099	6.0219929183888095
ERR1459109	4.0449046152116965
ERR1459123	5.514672964833919
ERR1459124	2.4219183347458464
ERR1459126	5.38502958635004
ERR1459131	5.059984706178296
ERR1459142	5.094069950404527
ERR1459146	4.855141902381505
ERR1459147	1.536941904129235
ERR1459152	5.280100212945196
ERR1459161	4.722175748492533
ERR1459162	3.540180726406112
ERR1459172	4.282365112044198
ERR1459203	4.001861918081138
ERR1459204	5.720638654993264
ERR2056783	5.582683410026486
ERR2056799	5.969519177702165
